cik,name
1376879,AKO CAPITAL LLP
1167557,AQR CAPITAL MANAGEMENT LLC
916542,ACADIAN ASSET MANAGEMENT LLC
1535943,Alphadyne Asset Management LP
1541617,"Altimeter Capital Management, LP"
1300714,"Anchorage Capital Group, L.L.C."
860662,"ANGELO GORDON & CO., L.P."
1063296,"ATLANTIC INVESTMENT MANAGEMENT, INC."
1362948,"Aurelius Capital Management, LP"
1263508,BAKER BROS. ADVISORS LP
1218710,BALYASNY ASSET MANAGEMENT L.P.
1453885,Beach Point Capital Management LP
1610880,BlueCrest Capital Management Ltd
1426486,"Bracebridge Capital, LLC"
1512857,Brevan Howard Capital Management LP
1350694,"Bridgewater Associates, LP"
2058325,QSM Asset Management Ltd
1074034,CANYON CAPITAL ADVISORS LLC
1323645,CAPITAL FUND MANAGEMENT S.A.
1426196,"CAPSTONE INVESTMENT ADVISORS, LLC"
2051323,CAXTON ASSOCIATES LLP
1423053,CITADEL ADVISORS LLC
1135730,COATUE MANAGEMENT LLC
1747057,D1 Capital Partners L.P.
1595082,DAVIDSON KEMPNER CAPITAL MANAGEMENT LP
1009258,"DEERFIELD MANAGEMENT COMPANY, L.P."
1389507,"DISCOVERY CAPITAL MANAGEMENT, LLC / CT"
1602189,"Dragoneer Investment Group, LLC"
1672142,DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.
1895612,"VELA Investment Management, LLC"
1581811,Egerton Capital (UK) LLP
902219,WELLINGTON MANAGEMENT GROUP LLP
1791786,Elliott Investment Management L.P.
1736225,"ExodusPoint Capital Management, LP"
909661,FARALLON CAPITAL MANAGEMENT LLC
1380393,Fortress Investment Group LLC
1362033,GSA CAPITAL PARTNERS LLP
1666905,Garda Capital Partners LP
1138995,"GLENVIEW CAPITAL MANAGEMENT, LLC"
1278951,GOLDENTREE ASSET MANAGEMENT LP
1315421,"Graham Capital Management, L.P."
1548836,Gramercy Funds Management LLC
1011443,HBK INVESTMENTS L P
919185,HIGHBRIDGE CAPITAL MANAGEMENT LLC
1709323,Himalaya Capital Management LLC
1393825,Hudson Bay Capital Management LP
2024579,Jain Global LLC
1218199,"KING STREET CAPITAL MANAGEMENT, L.P."
1578621,LMR Partners LLP
1608485,LANSDOWNE PARTNERS (UK) LLP
1600344,"Lighthouse Investment Partners, LLC"
1061165,LONE PINE CAPITAL LLC
1352851,Magnetar Financial LLC
1637460,Man Group plc
1279913,MARATHON ASSET MANAGEMENT LP
1318757,"MARSHALL WACE, LLP"
1218735,MASON CAPITAL MANAGEMENT LLC
934639,MAVERICK CAPITAL LTD
1273087,MILLENNIUM MANAGEMENT LLC
1448574,"MOORE CAPITAL MANAGEMENT, LP"
1055951,ORBIMED ADVISORS LLC
1564702,"PDT Partners, LLC"
883677,PANAGORA ASSET MANAGEMENT INC
1741369,"Ategra Capital Management, LLC"
1035674,PAULSON & CO. INC.
1224962,PERCEPTIVE ADVISORS LLC
1802695,Perseverance Asset Management International
1336528,"Pershing Square Capital Management, L.P."
1596355,"Asset Management Advisors, LLC"
1603466,"Point72 Asset Management, L.P."
1561418,Quantedge Capital Pte Ltd
1729829,Qube Research & Technologies Ltd
1346824,"RA CAPITAL MANAGEMENT, L.P."
1037389,RENAISSANCE TECHNOLOGIES LLC
1666335,Rokos Capital Management LLP
1426859,Ruffer LLP
1510281,"Saba Capital Management, L.P."
1665241,Schonfeld Strategic Advisors LLC
1649339,"Scion Asset Management, LLC"
1332784,Silver Point Capital L.P.
1639668,"SkyBridge Capital II, LLC"
2003074,SYLEBRA CAPITAL LLC
1647251,TCI Fund Management Ltd
1040273,Third Point LLC
1167483,TIGER GLOBAL MANAGEMENT LLC
1345471,"TRIAN FUND MANAGEMENT, L.P."
1574850,Tsai Capital Corp
1893893,STUDIO INVESTMENT MANAGEMENT LLC
1179392,"TWO SIGMA INVESTMENTS, LP"
1553936,TYBOURNE CAPITAL MANAGEMENT (HK) LTD
1418814,"ValueAct Holdings, L.P."
1454027,Verition Fund Management LLC
1103804,VIKING GLOBAL INVESTORS LP
1479847,Voleon Capital Management LP
1556921,"VOLORIDGE INVESTMENT MANAGEMENT, LLC"
1758720,Walleye Capital LLC
1570717,"Waterfall Asset Management, LLC"
1612063,WINTON GROUP Ltd
1745981,WORLDQUANT MILLENNIUM ADVISORS LLC
1251567,WYNNEFIELD CAPITAL INC
1480532,"York Capital Management Global Advisors, LLC"
