Fund Name,Value ($)
CITADEL ADVISORS LLC,"$28,491,010,793"
WELLINGTON MANAGEMENT GROUP LLP,"$26,751,644,756"
MILLENNIUM MANAGEMENT LLC,"$10,778,094,840"
Hudson Bay Capital Management LP,"$5,370,763,140"
"CAPSTONE INVESTMENT ADVISORS, LLC","$4,292,173,639"
AQR CAPITAL MANAGEMENT LLC,"$4,090,708,824"
Man Group plc,"$2,755,916,645"
"MARSHALL WACE, LLP","$2,466,283,132"
Rokos Capital Management LLP,"$2,421,294,301"
TIGER GLOBAL MANAGEMENT LLC,"$2,184,805,528"
PANAGORA ASSET MANAGEMENT INC,"$1,923,014,011"
Qube Research & Technologies Ltd,"$1,872,648,792"
COATUE MANAGEMENT LLC,"$1,841,683,229"
BALYASNY ASSET MANAGEMENT L.P.,"$1,658,339,459"
"Point72 Asset Management, L.P.","$1,485,426,551"
"Altimeter Capital Management, LP","$1,426,385,069"
WORLDQUANT MILLENNIUM ADVISORS LLC,"$1,214,885,071"
Verition Fund Management LLC,"$1,117,994,077"
RENAISSANCE TECHNOLOGIES LLC,"$1,050,193,666"
Walleye Capital LLC,"$972,650,309"
Elliott Investment Management L.P.,"$807,891,400"
CAPITAL FUND MANAGEMENT S.A.,"$599,087,856"
Third Point LLC,"$531,753,000"
LMR Partners LLP,"$481,560,741"
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","$477,029,646"
"Bridgewater Associates, LP","$468,269,342"
MAVERICK CAPITAL LTD,"$399,902,511"
Jain Global LLC,"$392,484,464"
"Dragoneer Investment Group, LLC","$387,785,446"
Brevan Howard Capital Management LP,"$377,086,949"
"TWO SIGMA INVESTMENTS, LP","$290,972,816"
HBK INVESTMENTS L P,"$285,355,452"
Voleon Capital Management LP,"$269,233,634"
BlueCrest Capital Management Ltd,"$229,712,258"
"ExodusPoint Capital Management, LP","$210,920,801"
Schonfeld Strategic Advisors LLC,"$198,027,425"
"Scion Asset Management, LLC","$186,580,000"
"MOORE CAPITAL MANAGEMENT, LP","$157,253,356"
D1 Capital Partners L.P.,"$115,045,228"
"KING STREET CAPITAL MANAGEMENT, L.P.","$111,948,000"
DAVIDSON KEMPNER CAPITAL MANAGEMENT LP,"$95,752,856"
"Saba Capital Management, L.P.","$78,861,582"
DYMON ASIA CAPITAL (SINGAPORE) PTE. LTD.,"$46,939,796"
CAXTON ASSOCIATES LLP,"$27,587,346"
"Graham Capital Management, L.P.","$17,694,874"
WINTON GROUP Ltd,"$14,746,723"
Tsai Capital Corp,"$4,676,814"
"VELA Investment Management, LLC","$4,305,714"
"Lighthouse Investment Partners, LLC","$3,605,472"
ACADIAN ASSET MANAGEMENT LLC,"$3,289,929"
GSA CAPITAL PARTNERS LLP,"$4,228"
